lambdas,inflation_variance,output_gap_variance,interest_variance,loss,coefficients
0.0,32.272,13.905999999999999,16.17,13.934899999999999,[-0.22051919  0.00132641  0.21720919  0.00330711]
0.125,22.676,14.458,16.188,15.520594,[-0.27005263  0.00133089  0.21202833  0.0030251 ]
0.25,18.011,15.485,16.224,16.166676,[-0.30571206  0.0011228   0.19616514  0.00288211]
0.375,14.909,16.866,16.248,16.193629,[-0.33684617  0.00112989  0.1784308   0.00272021]
0.5,12.552,18.685,16.257,15.684549,[-0.36634826  0.00114474  0.15981959  0.00267119]
0.625,10.409,21.441,16.259,14.613081,[-0.39947601  0.00110448  0.13838451  0.0025812 ]
0.75,8.2562,26.320999999999998,16.241,12.830480999999999,[-0.44184382  0.00106974  0.11127168  0.0026545 ]
0.875,5.9515,37.099000000000004,16.192999999999998,9.8821865,[-0.50542896  0.0010653   0.07403568  0.00281348]
1.0,3.4858,88.649,16.069000000000003,3.490561,[-6.68102982e-01  1.45068203e-03  3.77400536e-06  3.10093041e-03]
